State	Organization	URL	
Oregon	Friends of the Columbia Gorge Land Trust	https://gorgefriends.org/	
Oregon	Greenbelt Land Trust	https://greenbeltlandtrust.org/	
Oregon	McKenzie River Trust	https://www.mckenzieriver.org/	
Oregon	North Coast Land Conservancy	https://nclctrust.org/	
Oregon	Southern Oregon Land Conservancy	https://landconserve.org/	
Oregon	The Wetlands Conservancy	https://wetlandsconservancy.org/	
Oregon	Wallowa Land Trust	https://wallowalandtrust.org/	
Oregon	Western Rivers Conservancy	https://www.westernrivers.org/	
Oregon	Wild Rivers Land Trust	https://www.wildriverslandtrust.org/	
Pennsylvania	Allegheny Land Trust	https://alleghenylandtrust.org/	
Pennsylvania	Brandywine Conservancy & Museum of Art	https://www.brandywine.org/conservancy	
Pennsylvania	Central Pennsylvania Conservancy	https://www.centralpaconservancy.org/	
Pennsylvania	Chestnut Hill Conservancy	https://chconservancy.org/	
Pennsylvania	ClearWater Conservancy	https://www.clearwaterconservancy.org/	
Pennsylvania	Countryside Conservancy	https://countrysideconservancy.org/	
Pennsylvania	Delaware Highlands Conservancy	https://delawarehighlands.org/	
Pennsylvania	French and Pickering Creeks Conservation Trust	https://frenchandpickering.org/	
Pennsylvania	French Creek Valley Conservancy	https://fcvc.org/	
Pennsylvania	Heritage Conservancy	https://heritageconservancy.org/	
Pennsylvania	Hollow Oak Land Trust	https://hollowoak.org/	
Pennsylvania	Lancaster Conservancy	https://www.lancasterconservancy.org/	
Pennsylvania	Lancaster Farmland Trust	https://lancasterfarmlandtrust.org/	
Pennsylvania	Land Conservancy of Adams County	https://www.lcacnet.org/	
Pennsylvania	Land Trust of Bucks County	https://landtrustbuckscounty.org/	
Pennsylvania	Natural Lands	https://natlands.org/	
Pennsylvania	North Branch Land Trust	https://northbranchlandtrust.org/	
Pennsylvania	The Land Conservancy for Southern Chester County	https://tlcforscc.org/	
Pennsylvania	Tinicum Conservancy	https://tinicumconservancy.org/	
Pennsylvania	Western Pennsylvania Conservancy	https://waterlandlife.org/	
Pennsylvania	Westmoreland Conservancy	https://westmoreland-landtrust.org/	
Pennsylvania	Wildlands Conservancy	https://www.wildlandspa.org/	
Pennsylvania	Willistown Conservation Trust	https://wctrust.org/	
Rhode Island	Aquidneck Land Trust	https://ailt.org/	
Rhode Island	Block Island Conservancy	https://biconservancy.org/	
Rhode Island	Block Island Land Trust	https://blockislandlandtrust.org/	
Rhode Island	Conanicut Island Land Trust	https://conanicutlandtrust.org/	
Rhode Island	Middletown Valley Land Trust	https://middletownvalleylandtrust.org/	
Rhode Island	Nature Conservancy of Rhode Island	https://www.nature.org/en-us/about-us/where-we-work/united-states/rhode-island/	
Rhode Island	Sakonnet Preservation Association	https://sakonnetpreservation.org/	
Rhode Island	South Kingstown Land Trust	https://sklt.org/	
Rhode Island	Tiverton Land Trust	https://tivertonlandtrust.org/	
South Carolina	Beaufort County Open Land Trust	https://openlandtrust.org/	
South Carolina	Charleston County Land Trust	https://charlestonlandtrust.org/	
South Carolina	Congaree Land Trust	https://congareelt.org/	
South Carolina	Lowcountry Land Trust	https://lowcountrylandtrust.org/	
South Carolina	Upstate Forever	https://www.upstateforever.org/	
South Dakota	Northern Prairies Land Trust	https://gfp.sd.gov/northern-prairies-land-trust/	
Tennessee	French Broad River Partnership	https://fbriver.org/	
Tennessee	Land Trust for Tennessee	https://www.landtrusttn.org/	
Tennessee	Tennessee Parks and Greenways Foundation	https://tenngreen.org/	
Texas	Bayou Land Conservancy	https://bayoulandconservancy.org/	
Texas	Cactus Pine Land Trust	https://cactuspine.org/	
Texas	Hill Country Conservancy	https://hillcountryconservancy.org/	
Texas	Texas Land Conservancy	https://www.texaslandconservancy.org/	
Texas	Texas Agricultural Land Trust	https://www.txaglandtrust.org/	
Texas	Texas Land Trust Council	https://texaslandtrustcouncil.org/	
Utah	Moab Land Trust	https://moablandtrust.org/	
Utah	Summit Land Conservancy	https://wesaveland.org/	
Utah	Wild Utah Project	https://wildutahproject.org/	
Vermont	Catamount Trail Association	https://catamounttrail.org/	
Vermont	Land Trust of Vermont	https://vlt.org/	
Vermont	Mount Holly Conservation Trust	https://mhct.org/	
Vermont	New England Forestry Foundation Vermont	https://newenglandforestry.org/	
Vermont	Stowe Land Trust	https://www.stowelandtrust.org/	
Vermont	Woodstock Land Trust	https://woodstocklandtrust.org/	
Virginia	Blue Ridge Land Conservancy	https://brlcva.org/	
Virginia	Eastern Shore Land Trust	https://eslandtrust.org/	
Virginia	Land Trust of Virginia	https://landtrustva.org/	
Virginia	Piedmont Environmental Council	https://www.pecva.org/	
Virginia	Valley Conservation Council	https://valleyconservation.org/	
Virginia	Virginia Eastern Shore Land Trust	https://eslandtrust.org/	
Washington	Cascade Land Conservancy (Forterra)	https://forterra.org/	
Washington	Columbia Land Trust	https://www.columbialandtrust.org/	
Washington	Jefferson Land Trust	https://saveland.org/	
Washington	North Olympic Land Trust	https://northolympiclandtrust.org/	
Washington	Skagit Land Trust	https://www.skagitlandtrust.org/	
Washington	Whidbey Camano Land Trust	https://www.wclt.org/	
Washington	Whatcom Land Trust	https://whatcomlandtrust.org/	
West Virginia	Coal River Mountain Watch	https://crmw.net/	
West Virginia	West Virginia Land Trust	https://wvlandtrust.org/	
Wisconsin	Driftless Area Land Conservancy	https://driftlessconservancy.org/	
Wisconsin	Gathering Waters	https://gatheringwaters.org/	
Wisconsin	Landmark Conservancy	https://landmarkwi.org/	
Wisconsin	Mississippi Valley Conservancy	https://mississippivalleyconservancy.org/	
Wisconsin	Northwoods Land Trust	https://northwoodslandtrust.org/	
Wisconsin	Ozaukee Washington Land Trust	https://owlt.org/	
Wisconsin	Tall Pines Conservancy	https://tallpinesconservancy.org/	
Wisconsin	The Ridges Sanctuary	https://ridgessanctuary.org/	
Wisconsin	Kettle Moraine Land Trust	https://kmlandtrust.org/	
Wisconsin	Glacial Lakes Conservancy	https://www.glaciallakes.org/	
Wyoming	Jackson Hole Land Trust	https://jhlandtrust.org/	
Wyoming	Johnson County Land Trust	https://johnsoncountylandtrust.org/	
Wyoming	Monteith Ranch Land Trust	https://monteithranchlandtrust.org/	
Wyoming	Rattlesnake Hills Land Trust	https://rattlesnakehillslandtrust.org/	
Wyoming	The Nature Conservancy of Wyoming	https://www.nature.org/en-us/about-us/where-we-work/united-states/wyoming/	
