State	Organization	URL	Status	Title	Meta_Description	H1	Word_Count	Nav_Links	Donate_Link	Newsletter_Link
Oregon	North Coast Land Conservancy	https://nclctrust.org/	OK	Non-profit doing conservation work on the Oregon Coast	We all rely on the well-being of our surroundings. At NCLC, we work to conserve Oregon's coastal land and seascapes.	Helping to conserve Oregon's coastal lands and waters, forever.	886.0	Where We Work, Shop NCLC Swag, Vietnamese, Contact, Our Story, A Relationship with Indigenous Lands, Our Work, About, Spanish, Partners, Public Access Policies, Volunteer, Staff, Newsletters, Marine Program of NCLC, Events, Donate, Stewardship, Russian, English, Career Opportunities, Cape Falcon Marine Reserve, Annual Reports, Bulletins, Circle Creek Conservation Center, Get Involved, Conservation, News, Board of Directors	True	True
Oregon	Southern Oregon Land Conservancy	https://landconserve.org/	OK	Southern Oregon Land Conservancy	For People. For Nature. Forever.	 | Enjoy Public Access Natural Areas	1016.0	More, Our People, Where We Work, Our story, Rogue River Preserve, How we work, Open Positions, Volunteer, Gifts of Stock, Resources, Conserve your land, Events, Donate, Social Media Engagement, Hikes and tours, Education, Calendar, Planned Gifts, Our supporters, Connect, Back to Top, Financials, Donate Online, Why our work matters, Donate by Mail, News Blog, Membership and Giving	False	False
Oregon	The Wetlands Conservancy	https://wetlandsconservancy.org/	OK	The Wetland Conservancy		WHY DO WE NEED WETLANDS?	347.0	Back, BLUE CARBON, WETLANDS FAQ, COMMUNITY SCIENCE, STEWARDSHIP DAYS, Skip to Content, TEAM, EMPLOYMENT, Folder: OUR IMPACT, SIGNIFICANT WETLANDS, STORIES ABOUT OUR WORK, ABOUT, ESTUARIES, Donate, WETLANDS 101, ANIMALS, HISTORY, TWC WETLANDS, Folder: GET INVOLVED, PLANTS, OUR IMPACT, OREGON WETLANDS, GET INVOLVED, WHAT'S A WETLAND, UPCOMING EVENTS, CONSTRUCTED WETLANDS, Folder: OREGON WETLANDS, WETLAND MITIGATION, Folder: WHAT'S A WETLAND, TWC PARTNERS, MERCHANDISE, Folder: ABOUT	True	False
Oregon	Wallowa Land Trust	https://wallowalandtrust.org/	OK	Wallowa Land Trust | Wallowa County	Wallowa Land Trust works to protect the rural nature of Wallowa County.	Why conserve your land?	305.0	Ways to Give, Donate Now, Wallowa Land Trust	True	True
Oregon	Western Rivers Conservancy	https://www.westernrivers.org/	OK	Western Rivers Conservancy - Saving the Great Rivers of the West	Western Rivers Conservancy protects river ecosystems throughout the western United States. We acquire land to conserve critical habitat, provide public access for compatible use and enjoyment, and cooperate with other agencies and organizations to secure the health of whole ecosystems. Learn more.	Conserved: Blue Creek!	405.0	Klamath River, Big Hole River, Bear River, Estero de San Antonio, La Jara Basin, Okanogan River, Little Deschutes River, Give, Discover, Projects, About, Donate	True	True
Oregon	Wild Rivers Land Trust	https://www.wildriverslandtrust.org/	OK	Wild Rivers Land Trust protects and preserves wild and working lands on Oregon’s South Coast.	conservation, working lands, wilderness, South Coast, Oregon Coast, environment, coho salmon, native species, ecology, donate land, land preservation, conservation easement, rural communities		1973.0	History, Mission and Vision, Conservation and Strategic Plans, Join Our Team, What We Do, 2018 990, 2017 990, Photo Gallery, 2016 990, EPA Brownfield Project, Conserved Properties, Become A Donor, 2021 990, Staff, Newsletters, 2023 990, Overview, Resources, Donate, Who We Are, 2022 990, Our Service Area, Home, An Overview, Announcements, Services, 2020 990, Join Our Mailing List, What is a Land Trust?, Get Involved, Board Members, Videos, Contact Us, 2019 990, Event Calendar, Articles and Blogs, News & Events, Financial Info	False	True
Pennsylvania	Allegheny Land Trust	https://alleghenylandtrust.org/	OK	Allegheny Land Trust | Helping Local People Save Local Land	ALT is a land conservation nonprofit helping local people save local land in the Pittsburgh region since 1993 to help improve the quality of life for all.	September 18, 2025 | ALT Day of Giving | Our Current Land Conservation Projects | Attend An Event | Conservation Options | Join ALT's Conservationist Society	1191.0	Land Conservation, Hunting, What We Do, Community Conservation, More Ways to Give, Hunting Permit, Instagram, Environmental Education, Volunteer, Donate Now, Membership, Careers & Internships, Staff, Ways to Conserve Your Land, Know Before You Go, Resources, Send Us A Message, Strategic Plan, Events, Events Calendar, Who We Are, Explore, Mission & Vision, Support, Job Opportunities, Why Conserve Land, Connect, Facebook, Vistas Newsletter Archive, Sponsorship, Sign Up for Our Newsletter, Reports & Whitepapers, News, Financial Data, News & Events, Board of Directors, Find a Green Space, Land Stewardship	True	True
Pennsylvania	Brandywine Conservancy & Museum of Art	https://www.brandywine.org/conservancy	OK	Conservancy | Brandywine Conservancy and Museum of Art		Brandywine Conservancy | Conserving our Land & Water | Volunteer | The Brandywine Conservancy	548.0	Brandywine Creek Greenway, Brandywine Conservancy, Brandywine Campus Trails, Our Work, Recent Projects, About, Our Mission & Approach, Volunteer, For Landowners, Preserves & Trails, Stewardship Resources, Hiking through History, Events, Biking the Greenway, Publications, Jobs & Internships, Connect With Us, Conservancy Blog, The Laurels Preserve, Birmingham Hill Preserve, The Waterloo Mills Preserve, About the Greenway, Support, Staff Directory, Brandywine, Museum of Art, Miller Farm, For Municipalities, Environmental Currents, Get Involved, Videos, App, Brandywine Outside, Brandywine Flood Study, Become a Member, Conservancy, Projects, Brandywine Native Garden Hub, Mini-Grant Program, Penguin Court & Thomas Road Farm	True	False
Pennsylvania	Central Pennsylvania Conservancy	https://www.centralpaconservancy.org/	OK	Home - Central Pennsylvania Conservancy			442.0	Legacy Gifts, How We Conserve Land, An accredited land trust., Volunteer, Donate Now, Membership, Meet Our Team, Newsletters & Reports, Bequests, Events, Letort Spring Garden Preserve, Interactive Map, Protection Options and Process, Landowner Support, Home, About Us, Visit, Public Access Projects & Transfers, Get Involved, Juniata County Preserves, Ironmaster’s Challenge – 15K, 20mi & 50K, QCDs and IRA Distributions	True	True
Pennsylvania	Chestnut Hill Conservancy	https://chconservancy.org/	Error 406							
Pennsylvania	ClearWater Conservancy	https://www.clearwaterconservancy.org/	OK	Conservancy | ClearWater Conservancy | United States	The mission of ClearWater Conservancy is to conserve and restore the natural resources of central Pennsylvania through land conservation, water resources stewardship, and environmental outreach in the community.	About Us	524.0	Land Conservation, Native Garden, Golf Fest Photo Gallery, Compass, Watershed Cleanup Day 2025, Join Our Team, Golf-Fest, Board, Campaign to Connect, Mission, Vision, Strategy, Art & Chocolate, Volunteer, Enews Archive, Staff, Musser Gap, Events, Donate, Water Resources Stewardship, Rothrock Trail Alliance, Centred Outdoors, Barrens to Bald Eagle Wildlife Corridor, Annual Meeting 2025, Scotia Barrens to Ridgelines Initiative, DEIJ&B, Stay Informed, Slab Cabin Run Initiative, Get Involved, Contact Us, News	True	False
Pennsylvania	Countryside Conservancy	https://countrysideconservancy.org/	OK	Countryside Conservancy | Working in Lackawanna, Susquehanna and Wyoming counties in northeastern Pennsylvania.		Countryside Conservancy Preserves	323.0	LACKAWANNA STATE PARK TRAILS, EVENTS CALENDAR, EASEMENTS, TRAILS, TROLLEY TRAIL, EVENTS, BOARD OF DIRECTORS, HOME, PROTECTING YOUR LANDS, ABOUT US, PROTECTED LANDS, MEMBER APPLICATION, NEWSLETTER, STAFF, PRESERVES, DONATE, ABOUT, TRAILS ON PRESERVES	True	True
Pennsylvania	Delaware Highlands Conservancy	https://delawarehighlands.org/	OK	Delaware Highlands Conservancy		Programs & Events | What's New	713.0	Landowner Stories, Give a Gift Now, Corporate Sponsorships, Resources & Links for Landowners, Financial Benefits of Conservation Easements, Our Story, Caring for Your Land, What We Do, Scholarships, Directions, Dedicate a Bench at the Van Scott Nature Reserve, Land Acknowledgment, Volunteer Opportunities, River Club, Calendar of Events, Donate Now, On Your Own, Support Our Work Monthly, Staff, Green Lodging Partners, Conservation News, News & Events, Process to Protect Your Land, Landowner Inquiry Form, Resident Breeding Eagles, Frequently Asked Questions: Stewardship, Wintering Eagles, Resources, The Van Scott Nature Reserve, Eagles, Our Programs, Vision for the Conservation Education Center, Eagle Watching, GREEN LODGING, Love Where You Live, Partnerships, Leaving a Legacy, Eagle Nests, Map, Our Partners, SCHOLARSHIPS, Shop Official Merchandise, Confronting Natural Gas, Forest Management Plans, WOMEN & THEIR WOODS, Careers, Van Scott Nature Reserve, Conservation Easements, Conservation Buyer Program, Eagle Resources, Annual Monitoring, Eagles in Our Region, Guided Excursions, What’s Special About Your Land?, Trails, Membership & Support, Get Involved, Eagle Etiquette, Contact Us, Getting Started, LandLines Newsletter Archive, Financials, Pike-Monroe Woodland Owners Group, Rules for Visitors, Newsletters & Annual Reports, Frequently Asked Questions, Interpretive Trail Guide, Protecting Your Land, Founder’s Message, Landowner Corner, Women and Their Woods, Media Library, Connect & Learn, Board of Directors, Eagle Habitat	False	True
Pennsylvania	French and Pickering Creeks Conservation Trust	https://frenchandpickering.org/	OK	Home - French & Pickering Creeks Conservation Trust	Working to preserve, steward and connect people to the land in northern Chester County since 1967 Over 13,600 Acres Preserved Donate For over 50 years, French & Pickering has been a leader in preserving northern Chester County's natural resources and cherished landscapes. Your support means we can continue to protect our land and water, together.	Working to preserve, steward and connect people | to the land in northern Chester County since 1967 | Donate | Our Work | Annual Auction | Upcoming Events | Become a Member | The Latest at French & Pickering | Visit our Preserves	831.0	Our People, Donate now, FAQ, Corporate Sponsorships, Contact, Store, Ways To Give, Jerseys, Land Matters, Our Work, About, Our Team, Volunteer, Report: Land Protection & Flooding in a Changing Climate, Membership, Directions, Planned Giving, Individual Sponsorships, Sponsor, Events Calendar, Events, Lecture Recordings, Donate, Thomas P. Bentley Nature Preserve, Home, Annual Auction, Careers, Courses, Stock, IRA, & Donor Advised Fund Gifts, Preserves, Cannon for the Defense of Philadelphia, by Dan Graham, French Creek Iron Tour, News, Library, Apparel, Board of Directors, Templin Woods Preserve	True	True
Pennsylvania	French Creek Valley Conservancy	https://fcvc.org/	OK	fcvc.org - This website is for sale! - fcvc Resources and Information.	This website is for sale! fcvc.org is your first and best source for information about fcvc. Here you will also find topics relating to issues of general interest. We hope you find what you are looking for!		12.0		False	False
Pennsylvania	Heritage Conservancy	https://heritageconservancy.org/	OK	Land · History · Community - Heritage Conservancy		Land · History · Community	490.0	Land Conservation, Press Coverage, Wedding Testimonials, Additional Ways to Give, Historic Aldie Mansion, About, Contact & Directions, Nature Notes, Business Partnership, Weddings at Aldie, Weddings at Aldie Mansion, Volunteer, Ways to Give, Membership, Community Education, Our Impact, Resources, Events Calendar, Rentals at Aldie, Publications, About Our Team, Explore, Christmas at Aldie, Join Now, Jeffrey A. Miller Hospitality, Get Involved, Videos, History & Preservation, About Heritage Conservancy, Special Projects, News & Events, Wedding Photos & Video, Bur Oak Society – Planned Giving	True	True
Pennsylvania	Hollow Oak Land Trust	https://hollowoak.org/	OK	Hollow Oak Land Trust - Protecting Green Space			615.0	FAQ, Boggs Run, Trail Services, Contact, Child Page One, Other Ways to Give, Forestbrooke, What We Do, Become a Volunteer Land Steward, Hollow Oak & Landowners, Trout Run, About, Hollow Oak Land Trust, Ways to Give, Corporate Sponsorship, Volunteer, Thorn Run, Directors & Staff, Hunting Policy and Permits, History, Advanced Template Blocks, Fifer’s Fields, Report Trail Conditions, Policies, Events, Vinegar Hollow, Kenmawr, Montour Woods, Support, Child Page Two, Support Hollow Oak Now, Land Protection, Become a Land Steward, Visit, Collaborators, Supporters, Tax Relief for Owners, Press, Child Page Three, Our Conservation Areas, Sahli Nature Park, Child Page Four, Greenways & Economic Development	True	False
Pennsylvania	Lancaster Conservancy	https://www.lancasterconservancy.org/	OK	Lancaster Conservancy - Saving Nature - Lancaster, PA	The Lancaster Conservancy works to provide Lancaster, York, and Berks Counties with wild and forested lands and clean waterways. Forever.	Saving Nature	666.0	Conservancy TV, Shop Our Store, Where We Work, Volunteer Workdays, Water Quality Volunteer Coalition, Event Notice, Volunteer Land Steward, Give a Gift, Donate Today, Regional Trails, What We Do, Report an Issue on a Preserve, Explore Outdoors, Engaging our Community, Organization Service Days, Event on a Preserve Notice, Upcoming Events, Susquehanna Riverlands Mini-Grants, Volunteer, K-12 Conservation Education Volunteers, Lancaster Water Week, Join an Event, Dine on Harvest Moon, K-12 Conservation Education Program, Where to Fish, Protect & Restore Campaign, Climbers Run Nature Center, Caring for Nature, Susquehanna Riverlands, Where to Hunt, Protect Your Land, Habitat Advocate Classes, Events, Find a Preserve, Donate, Success Stories, Saving Natural Lands, Protect Cuffs Run, Stewardship Goals, Legacy Giving, Sponsorship Opportunities, Lancaster Conservancy Trail Fest, Community Wildlife Habitat, Phenology Community Science Project, Get Involved, Hellam Hills Conservation Area Master Plan, Presenter Request Form	True	False
Pennsylvania	Lancaster Farmland Trust	https://lancasterfarmlandtrust.org/	OK	Lancaster Farmland Trust - Save the Lancaster You Love	Lancaster Farmland Trust is a nonprofit committed to increasing permanent protection & stewardship of farmland across Lancaster County.	Lancaster Farmland Trust	243.0	Lancaster Farmland Trust, Join Our Team, Contact, LinkedIn, TikTok, Our Blog, Our Work, About, Become a Partner, Instagram, Volunteer, FAQs, 1. Preservation, 3. Stewardship, Merch Store, Overview, Events, Donate, Who We Are, Support Our Mission, Facebook, YouTube, Get Involved, Conservation, 2. Conservation, Financials, Blog, News, Preservation	True	True
Pennsylvania	Land Conservancy of Adams County	https://www.lcacnet.org/	OK	Sustainable	Our environment is suffering from mankind's progress towards economic development and we all need to live in a sustainable way so we no longer damage the world we live in. What are you doing to...	Sustainable | Sustainable	397.0	Open in app, Environmentalists Need to Stop Talking, Pinterest, News on Climate Change, Posts, Solar systems, Sustainable, Solar panels, Archive, veganhippiechick, Solar power, Solar Power CEE (Instagram), climate-crisis, Solar Power CEE (Blogger), happyheidi, sixpenceee, Facebook, Reddit, environmentalact, Embed, Solar Power CEE (Facebook), Permalink, Environmentalists, Tweet, Mail, eco-minimalism, g7ife	False	False
Pennsylvania	Land Trust of Bucks County	https://landtrustbuckscounty.org/	OK	Land Trust Bucks Co.		Land Trust Bucks Co. | What We Do	876.0		True	True
Pennsylvania	Natural Lands	https://natlands.org/	OK	Natural Lands | Land for Life. Nature for All.	Natural Lands. Land for Life, Nature for All. Saving open space, caring for nature, and connecting people to the outdoors and each other. Land conservation in Pennsylvania and New Jersey.	land for life. nature for all.	1130.0		True	True
Pennsylvania	North Branch Land Trust	https://northbranchlandtrust.org/	"Error: HTTPSConnectionPool(host='northbranchlandtrust.org', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x109a19f90>: Failed to resolve 'northbranchlandtrust.org' ([Errno 8] nodename nor servname provided, or not known)""))"							
Pennsylvania	The Land Conservancy for Southern Chester County	https://tlcforscc.org/	Error 526							
Pennsylvania	Tinicum Conservancy	https://tinicumconservancy.org/	OK	The Tinicum Conservancy		The Tinicum Conservancy	428.0	Join/Support Now!, Take Action, Land Protection FAQ, Skip to Content, Resources, News & Events, About Us	True	False
Pennsylvania	Western Pennsylvania Conservancy	https://waterlandlife.org/	OK	Protecting and restoring natural areas - Western Pennsylvania Conservancy Homepage - Western Pennsylvania Conservancy	The WESTERN PENNSYLVANIA CONSERVANCY protects and restores exceptional places to provide our region with CLEAN WATERS and healthy forests, wildlife and NATURAL AREAS for the benefit of present and future generations.	water. land. life. | water. land. life.	1723.0	Get On The Water, School Grounds Greening, Farmland Access Initiative, Riparian Plantings, Volunteer, Water Quality Monitoring, Riparian Restoration Tree Planting Initiative, WPC is an Accredited Land Trust, Buy Tickets, Water, Our Members Matter, Donate, Dirt & Gravel Road Design and Implementation, Wildlife, Home, Community Greening, Tips for Seasonal Tree Care, Search, Community Forestry, Challenges in a Changing Landscape, Renew Your Membership, Land Stewardship, More Ways to Give, Donate Now, Volunteer to Plant a Community Garden, Volunteer to Plant Trees, Riparian Tree Plantings, Find Community Flower Gardens, Explore, About Fallingwater, Abandoned Mine Drainage Services, Land, Colcom Foundation Revolving Fund for Local Land Trusts, Conservation Easements, Resources and Plans, Ligonier Valley Program, Learn, Conservation Science, Agricultural Best Management Practices, Make a Monthly Donation, TreeVitalize Pittsburgh, Explore Our Preserves, Conserving Priority Landscapes, Entrusted to WPC in 1963, Kaufmann Conservation on Bear Run, Conservation and Restoration Methods, Fallingwater, Make a One-time Donation, Aquatic Connectivity and Species Passage, Options for Protecting Your Land, Riparian Trees and Backyard Buffers, FAQs About Giving, Trees, Biological Surveys, Science and Research, Species at Risk in Pennsylvania, Watershed Mini Grant Program, Benefits of Trees, Pittsburgh Redbud Project, Conservation Buyers Program, Invasive and Unwelcome Species, Community Flower Gardens, Canoe Access Development Fund, Ecological Assessments, DONATE, Land Conservation, GIS Services and Bathymetry Mapping, Indicator Species, Visit Fallingwater, Nutrient Management Planning, Community Vegetable Gardens, Streambank Fencing and Crossings, Aquatic Science, Downtown Pittsburgh Greening, Natural Stormwater Solutions, Watershed Conservation, Gardens, Sponsor a Community Garden, Special Places	True	True
Pennsylvania	Westmoreland Conservancy	https://westmoreland-landtrust.org/	OK	Westmoreland Land Trust	A New Chapter for WLT - Leadership News After eight years as the Executive Director of the Westmoreland Land Trust, Betsy Aiken has decided to step down at the end of this year so that she can spend more time with friends and family. During her tenure, Betsy oversaw numerous land conservation projects, including the		1067.0		True	False
Pennsylvania	Wildlands Conservancy	https://www.wildlandspa.org/	OK	Wildlands Conservancy	Since 1973, it has been the mission of Wildlands Conservancy to protect and restore critical natural areas in the Lehigh River watershed.	It’s An ADVENTURE Out Here | It’s WILD Out Here | It’s FOREVER Out Here | It’s FUN Out Here	483.0	Contact, Nature Preserves, Animal Ambassadors, Our Team, Volunteer, Get Out for Wellness, Individual Giving, Planned Giving, Board of Directors, Corporate Giving, Water, Events, Donate, Scouting Programs, Mission & History, Land, Lehigh River Water Trail, Stream Team 2025, Hiking Trails, News, Search, School Programs	True	False
Pennsylvania	Willistown Conservation Trust	https://wctrust.org/	OK	WILLISTOWN CONSERVATION TRUST	Willistown Conservation Trust preserves and manages the open land, rural character, scenic, recreational, historic, agricultural and natural resources of the Willistown area and nearby communities, and shares these unique resources with people of all ages and backgrounds to inspire, educate and develop a lifelong commitment to the land and the natural world.	WILLISTOWN CONSERVATION TRUST	433.0	IN THE NEWS, LinkedIn, EVENTS, ECOCENTRIC EXPERIENCE, BLOG, KESTREL HILL PRESERVE, WHERE WE WORK, EDUCATION, RUN-A-MUCK, About, KIRKWOOD PRESERVE, JOBS & INTERNSHIPS, Instagram, RUSHTON CONSERVATION CENTER, FAQs, WAYS TO GIVE, INCLUSION, ACCESS, AND BELONGING, RUSHTON NATURE KEEPERS (RNK), OUR NEWEST PRESERVE- KESTREL HILL, JOIN OUR MAILING LIST, WILDFLOWER WEEK, VOLUNTEER, WATERSHED PROTECTION, COMMUNITY FARM, STRATEGIC PLAN, NATURE PRESERVES, GROUPS, BIRD CONSERVATION, CONTACT, LATEST, Support, ACCESS Program, OUR NEWEST PRESERVE, STEWARDSHIP, OUR STAFF AND TRUSTEES, Facebook, WILLISTOWN CONSERVATION TRUST, HOW WE WORK, YouTube, HARTMAN MEADOW, SPONSOR THE TRUST, RUSHTON WOODS PRESERVE, BARNS & BBQ, JOIN THE SYCAMORE SOCIETY, PHOTOS, LAND PROTECTION, PUBLICATIONS, LEGACY SOCIETY & PLANNED GIVING, EVENT CALENDAR, ASHBRIDGE PRESERVE, DONATE, CORPORATE PARTNERSHIP PROGRAM	True	True
Rhode Island	Aquidneck Land Trust	https://ailt.org/	OK	Aquidneck Island Land Trust - Aquidneck Island Land Trust	The Aquidneck Island Land Trust protects, restores and adapts lands that are vital to Aquidneck Island's health, history and scenic character		545.0	Biodiversity Study, Annual Meeting, Conserve your Land, Our Story, Our Conservation Strategies, Watersheds, Parks & Habitat, Outreach & Education, Our Work, Volunteer Opportunities, Ways to Give, Donate Now, Annual Events, Vehicle Donation, Staff, Interactive Trail Map, Native Plant Resources, Trail Maps, Strategic Plan, Gift a Membership, Partnerships, Home, Farmlands, Leave a Legacy, Island Insights, Renew Membership, Gift of Property, Land & Water Projects, Trustees, Aquidneck Resilience, Farm Conservation, Menu Menu, Get Involved, Blog, Become a Member, Leadership Council, Join the Land Trust	True	True
Rhode Island	Block Island Conservancy	https://biconservancy.org/	OK	Home - Block Island Conservancy		Block Island Conservancy | Block Island Conservancy | Block Island Conservancy | Block Island Conservancy | Block Island Conservancy	653.0	Mitchell Farm, Win Dodge Preserve, BIC Staff, Ball Loop, Beach Avenue Trail, Block Island Nature Blog, Trails and Land Use, Solviken Lot, Martin Trail, Meadow Hill Trail, Newsletters, Board of Directors, Mazzur Trail, Eric Jess Spirer Fund, Summer Nature Education Programs, Ray Durfee Lot, BIC Strategic Plan, Donate, Membership Criteria, LTA Accreditation, Stewardship, Education, Home, Our History, Attwood Trail, By-Laws, BIC Articles of Incorporation, About BIC, Conservation Easements, Harrison Trail, Summer 2024 Programs, Adopt-A-Trail, Compost with BIC, Murphy Trail, Store	False	True
Rhode Island	Block Island Land Trust	https://blockislandlandtrust.org/	"Error: HTTPSConnectionPool(host='blockislandlandtrust.org', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x109a19f90>: Failed to resolve 'blockislandlandtrust.org' ([Errno 8] nodename nor servname provided, or not known)""))"							
Rhode Island	Conanicut Island Land Trust	https://conanicutlandtrust.org/	OK	Welcome - Conanicut Island Land Trust			232.0	DONATE, CONSERVE YOUR LAND, HOME, ABOUT US, OUR BEES, CONTACT US, PROPERTIES, NEWS	True	False
