Organization	URL	File	Status
Forest Society of Maine	https://www.fsmaine.org	Forest_Society_of_Maine	Error
Frenchman Bay Conservancy	https://www.frenchmanbay.org	Frenchman_Bay_Conservancy	Error
Harpswell Heritage Land Trust	https://hhltmaine.org	Harpswell_Heritage_Land_Trust	Error
Loon Echo Land Trust	https://www.loonecholandtrust.org	Loon_Echo_Land_Trust	Error
Oceanside Conservation Trust of Casco Bay	https://oceansidect.org	Oceanside_Conservation_Trust_of_Casco_Bay	Error
Potomac Conservancy	https://www.potomac.org	Potomac_Conservancy	Error
Scenic Rivers Land Trust	https://www.srlt.org	Scenic_Rivers_Land_Trust	Error
Ashburnham Conservation Trust	https://ashburnhamconservationtrust.org	Ashburnham_Conservation_Trust	Error
Buzzards Bay Coalition	https://www.savebuzzardsbay.org	Buzzards_Bay_Coalition	Error
Sheriff’s Meadow Foundation	https://sheriffsmeadow.org	Sheriff’s_Meadow_Foundation	Error
The Trustees of Reservations	https://thetrustees.org	The_Trustees_of_Reservations	Error
Wareham Land Trust	https://warehamlandtrust.org	Wareham_Land_Trust	Error
Chikaming Open Lands	https://chikamingopenlands.org	Chikaming_Open_Lands	Error
Grand Traverse Regional Land Conservancy	https://www.gtrlc.org	Grand_Traverse_Regional_Land_Conservancy	Error
Land Conservancy of West Michigan	https://naturenearby.org	Land_Conservancy_of_West_Michigan	Error
Little Forks Conservancy	https://littleforks.org	Little_Forks_Conservancy	Error
Ozark Regional Land Trust	https://orlt.org	Ozark_Regional_Land_Trust	Error
Five Valleys Land Trust	https://www.fvlt.org	Five_Valleys_Land_Trust	Error
Flathead Land Trust	https://www.flatheadlandtrust.org	Flathead_Land_Trust	Error
Montana Land Reliance	https://mtlandreliance.org	Montana_Land_Reliance	Error
Nebraska Land Trust	https://nebraskalandtrust.org	Nebraska_Land_Trust	Error
Ammonoosuc Conservation Trust	https://www.aconservationtrust.org	Ammonoosuc_Conservation_Trust	Error
Five Rivers Conservation Trust	https://5rct.org	Five_Rivers_Conservation_Trust	HeaderScreenshot
Southeast Land Trust of New Hampshire	https://seltnh.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Southeast_Land_Trust_of_New_Hampshire_logo.svg	SavedSVG
Upper Valley Land Trust	https://uvlt.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Upper_Valley_Land_Trust_logo.png	DownloadedIMG
D&R Greenway Land Trust	https://drgreenway.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/DandR_Greenway_Land_Trust_logo.png	DownloadedIMG
Harding Land Trust	https://hardinglandtrust.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Harding_Land_Trust_logo.png	DownloadedIMG
Ridge and Valley Conservancy	https://ridgeandvalleyconservancy.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Ridge_and_Valley_Conservancy_logo.svg	SavedSVG
Champlain Area Trails	https://champlainareatrails.com	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Champlain_Area_Trails_logo.png	DownloadedIMG
Genesee Land Trust	https://www.geneseelandtrust.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Genesee_Land_Trust_logo.png	DownloadedIMG
Open Space Institute	https://www.openspaceinstitute.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Open_Space_Institute_logo.svg	SavedSVG
Peconic Land Trust	https://peconiclandtrust.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Peconic_Land_Trust_logo.svg	SavedSVG
Putnam County Land Trust	https://putnamlandtrust.org	Putnam_County_Land_Trust	Error
Thousand Islands Land Trust	https://tilandtrust.org	Thousand_Islands_Land_Trust	Error
Wallkill Valley Land Trust	https://wallkillvalleylt.org	Wallkill_Valley_Land_Trust	Error
Woodstock Land Conservancy	https://woodstocklandconservancy.org	Woodstock_Land_Conservancy	Error
Conserving Carolina	https://conservingcarolina.org	Conserving_Carolina	Error
Highlands-Cashiers Land Trust	https://www.hicashlt.org	Highlands_Cashiers_Land_Trust	Error
Mainspring Conservation Trust	https://www.mainspringconserves.org	Mainspring_Conservation_Trust	Error
Tar River Land Conservancy	https://tarriverlandconservancy.org	Tar_River_Land_Conservancy	Error
The Walthour-Moss Foundation	https://walthour-moss.org	The_Walthour_Moss_Foundation	Error
