State	Organization	URL	Status	Title	MetaDescription	H1s	PrimaryNavCTAs	DonateURL	VolunteerURL	LandownerURL	EmailCapture	Socials	CMSHints	AnalyticsHints	Facebook	Instagram	YouTube	LinkedIn
Alaska	Great Land Trust	https://greatlandtrust.org	200	Homepage - Great Land Trust	We protect wetlands that provide clean drinking water, conserve habitat for salmon and wildlife, and build trails to access the outdoors.	GREAT LAND TRUST	|Who We Are|About GLT|Staff|Board of Directors|Financials|Accreditation|What We Do|Our Approach|Conserve Land With Us	https://greatlandtrust.org/get-involved/ways-to-give/			Yes	"{""facebook"": ""https://www.facebook.com/greatlandtrust"", ""instagram"": ""http://instagram.com/greatlandtrust""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/greatlandtrust	http://instagram.com/greatlandtrust		
Alaska	Interior Alaska Land Trust	https://interioraklandtrust.org	200	Interior Alaska Land Trust	Interior Alaska Land Trust is a land trust in Fairbanks, Alaska. Learn how to conserve your land with a conservation easement or donation.	Conserving Land North of the Alaska Range	Home|About Us|Our Mission, Vision & Community|Board of Directors|Land & Projects|Chena Ridge Area|Cripple Creek Restoration Project|Chinook Conservation Park|Cripple Creek Headwaters|Ardahill	https://interioraklandtrust.org/donate/	https://interioraklandtrust.org/contact/volunteer/	https://interioraklandtrust.org/conservation-options/	No	"{""facebook"": ""https://www.facebook.com/InteriorAlaskaLandTrust/"", ""instagram"": ""https://www.instagram.com/interioraklandtrust/""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/InteriorAlaskaLandTrust/	https://www.instagram.com/interioraklandtrust/		
Alaska	Kachemak Heritage Land Trust	https://www.kachemaklandtrust.org/	200	Kachemak Heritage Land Trust - Alaska’s Kenai Peninsula	Kachemak Heritage Land Trust, a nonprofit organization preserving treasured lands on Alaska’s Kenai Peninsula for the future--founded in 1989, Alaska’s first land trust. 315 Klondike Ave, Homer, AK 99603 | (907) 235-5263 | info@KachemakLandTrust.org			https://www.kachemaklandtrust.org/join-in.html#donate			No	"{""facebook"": ""https://www.facebook.com/kachemakheritagelandtrust/"", ""instagram"": ""https://www.instagram.com/kachemakheritagelandtrust/""}"			https://www.facebook.com/kachemakheritagelandtrust/	https://www.instagram.com/kachemakheritagelandtrust/		
Alaska	Southeast Alaska Land Trust	https://sealt.org	FetchError:ERROR: Cannot connect to host sealt.org:443 ssl:default [Connect call failed ('104.143.9.210', 443)]															
Arizona	Arizona Land and Water Trust	https://alwt.org	200	Arizona Land and Water Trust - Arizona Land and Water Trust	The Trust has protected more than 50,000 acres in Southern Arizona.		|Land & Water Conservation|For Landowners|Success Stories|About|News & Resources|Contact|Donate	https://alwt.org/donate/		https://alwt.org/for-landowners/	Yes	"{""facebook"": ""https://www.facebook.com/ArizonaLandAndWaterTrust/"", ""twitter"": ""https://twitter.com/AzLWTrust"", ""linkedin"": ""https://www.linkedin.com/company/arizona-land-and-water-trust/"", ""instagram"": ""https://www.instagram.com/arizonalandandwatertrust""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/ArizonaLandAndWaterTrust/	https://www.instagram.com/arizonalandandwatertrust		https://www.linkedin.com/company/arizona-land-and-water-trust/
Arizona	Central Arizona Land Trust	https://centralazlandtrust.org/	200	Home - Central Arizona Land Trust - CALT			AboutCALT|Our Story|Board of Directors|ProtectedLands|Thumb Butte|Boyle Debusk|Granite Dells-Payne|Seven Spear|Frontiere|Coldwater Farm	https://centralazlandtrust.org/donation-page/			No	"{""facebook"": ""https://www.facebook.com/centralazlandtrust/""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/centralazlandtrust/			
Arizona	Desert Foothills Land Trust	https://dflandtrust.org	FetchError:ERROR: Cannot connect to host dflandtrust.org:443 ssl:default [nodename nor servname provided, or not known]															
Arkansas	Northwest Arkansas Land Trust	https://www.nwalandtrust.org	200	Home | Northwest Arkansas Land Trust	The mission of the Northwest Arkansas Land Trust is to preserve and enhance the quality of life for all people in Northwest Arkansas through the permanent protection of land.	Northwest ArkansasLand Trust	News|Events|Careers|Join|Donate Now	https://www.nwalandtrust.org/donate/		https://www.nwalandtrust.org/landowners/	No	"{""facebook"": ""https://www.facebook.com/NWALandTrust"", ""instagram"": ""https://www.instagram.com/northwestarkansaslandtrust/"", ""linkedin"": ""https://www.linkedin.com/company/northwest-arkansas-land-trust/""}"		Google Analytics/Tag Manager	https://www.facebook.com/NWALandTrust	https://www.instagram.com/northwestarkansaslandtrust/		https://www.linkedin.com/company/northwest-arkansas-land-trust/
California	Bear Yuba Land Trust	https://www.bylt.org/	200	Bear Yuba Land Trust	BYLT saves land, builds trails, and offers programs that get people outdoors to enjoy nature in the Bear and Yuba River watersheds of the Sierra foothills.		About|Land Acknowledgement|Mission and History|Strategic Plan|Annual Impact Statement 2024|Staff|Board Of Directors|Careers|Conservation Awards|Contact	https://www.bylt.org/support/donate/	https://www.bylt.org/support/volunteer/	https://www.bylt.org/save-land/for-landowners/	Yes	"{""facebook"": ""https://www.facebook.com/pages/Bear-Yuba-Land-Trust/283523281716778?ref=br_tf"", ""instagram"": ""https://instagram.com/bearyubalandtrust"", ""youtube"": ""https://www.youtube.com/channel/UCSnPc23MW0Mmm8eyCmyO5ng""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/pages/Bear-Yuba-Land-Trust/283523281716778?ref=br_tf	https://instagram.com/bearyubalandtrust	https://www.youtube.com/channel/UCSnPc23MW0Mmm8eyCmyO5ng	
California	Big Sur Land Trust	https://bigsurlandtrust.org	200	Home - Big Sur Land Trust	Big Sur Land Trust (BSLT) is a non-profit organization with a mission to inspire love of land across generations, conservation of our unique Monterey County landscapes, and access to outdoor experiences for all.		Skip to content	https://bigsurlandtrust.org/ways-to-give/			Yes	"{""facebook"": ""https://www.facebook.com/BigSurLandTrust/"", ""linkedin"": ""https://www.linkedin.com/company/big-sur-land-trust"", ""vimeo"": ""https://vimeo.com/bigsurlandtrust"", ""instagram"": ""https://www.instagram.com/bigsurlandtrust/""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/BigSurLandTrust/	https://www.instagram.com/bigsurlandtrust/		https://www.linkedin.com/company/big-sur-land-trust
California	California Farmland Trust	https://cafarmtrust.org	200	California Farmland Trust	At California Farmland Trust our mission is to help farmers protect the best farmland in the world. We also provide education & outreach.	Complete honesty and transparency|Our History|What we do		https://cafarmtrust.org/donate/	https://cafarmtrust.org/become-a-volunteer/	https://cafarmtrust.org/farmland-protection/	No	"{""facebook"": ""https://www.facebook.com/cafarmtrust/"", ""instagram"": ""https://www.instagram.com/cafarmtrust"", ""youtube"": ""https://www.youtube.com/channel/UCKlEGdx_Z4RUPniOr02dMmg"", ""linkedin"": ""https://www.linkedin.com/company/547414/"", ""twitter"": ""https://twitter.com/cafarmtrust""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/cafarmtrust/	https://www.instagram.com/cafarmtrust	https://www.youtube.com/channel/UCKlEGdx_Z4RUPniOr02dMmg	https://www.linkedin.com/company/547414/
California	California Rangeland Trust	https://rangelandtrust.org	200	California Rangeland Trust | CRT | Ranching Conservation	For over 20 years, California Rangeland Trust has partnered with ranchers to protect open spaces and natural resources that benefit all Californians.	California Rangeland Trust|Serving California Since 1998|What does California Rangeland Trust do?	|Who We Are|Col-1|Our Organization|divider|About Us|Our History|Our People|Job Opportunities|Col-2	http://plannedgiving.rangelandtrust.org/			No	"{""vimeo"": ""https://vimeo.com/848412334"", ""youtube"": ""https://www.youtube.com/user/RangelandTrust"", ""facebook"": ""https://www.facebook.com/RangelandTrust/"", ""twitter"": ""https://twitter.com/rangelandtrust"", ""instagram"": ""https://www.instagram.com/rangelandtrust/"", ""linkedin"": ""https://www.linkedin.com/company/california-rangeland-trust/""}"	WordPress		https://www.facebook.com/RangelandTrust/	https://www.instagram.com/rangelandtrust/	https://www.youtube.com/user/RangelandTrust	https://www.linkedin.com/company/california-rangeland-trust/
California	Cayucos Land Conservancy	https://www.cayucoslandconservancy.org/	200	Cayucos Land Conservancy	Cayucos Land Conservancy (CLC) is committed to the enduring preservation of the rural greenbelt that surrounds Cayucos, California.			https://www.cayucoslandconservancy.org/collections/donate	https://www.cayucoslandconservancy.org/blogs/core-pages/114995141-volunteer		Yes	"{""facebook"": ""https://www.facebook.com/cayucoslandconservancy"", ""instagram"": ""https://www.instagram.com/cayucoslandconservancy/""}"	Shopify		https://www.facebook.com/cayucoslandconservancy	https://www.instagram.com/cayucoslandconservancy/		
Colorado	Aspen Valley Land Trust	https://www.avlt.org	200	Aspen Valley Land Trust - Protecting the Places You Love	Protecting the places you love in Western Colorado. We work with private landowners, partners, and our community to protect water, wildlife, agriculture, and more.			https://www.avlt.org/donate.html	https://www.avlt.org/volunteer.html	https://www.avlt.org/landowner-resources.html	No	"{""facebook"": ""https://www.facebook.com/AspenValleyLandTrust/"", ""instagram"": ""https://www.instagram.com/aspenvalleylandtrust/"", ""linkedin"": ""https://www.linkedin.com/company/aspen-valley-land-trust""}"		Google Analytics/Tag Manager	https://www.facebook.com/AspenValleyLandTrust/	https://www.instagram.com/aspenvalleylandtrust/		https://www.linkedin.com/company/aspen-valley-land-trust
Colorado	Black Canyon Regional Land Trust	https://bcrlt.org	403	Attention Required! | Cloudflare		Sorry, you have been blocked					No	{}						
Colorado	Central Colorado Conservancy	https://www.centralcoloradoconservancy.org/	200	Homepage | Central Colorado Conservancy	Protecting the lands, waters, and quality of life of Central Colorado as our communities face pressure and rapid growth. Nonprofit Organization. 	PROTECTINGCENTRAL COLORADO	OUR MISSION|STRATEGIC PLAN|WHAT WE DO|WHO WE ARE|NEWS|CONTACT	https://www.centralcoloradoconservancy.org/give2024	https://www.centralcoloradoconservancy.org/take-action		Yes	"{""facebook"": ""https://www.facebook.com/CentralColoradoConservancy/"", ""linkedin"": ""https://www.linkedin.com/company/central-colorado-conservancy""}"			https://www.facebook.com/CentralColoradoConservancy/			https://www.linkedin.com/company/central-colorado-conservancy
Colorado	Colorado Cattlemen’s Agricultural Land Trust	https://ccalt.org	200	Home - Colorado Cattlemen's Agricultural Land Trust	The Colorado Cattlemen's Agricultural Land Trust protects Colorado's agricultural land, heritage and families for future generations by conserving working rural landscapes.	CONSERVE colorado	Conservation|Landowners|Success StoriesExpand|Success Stories|30th Anniversary StoryMap|Forever CO	https://ccalt.org/donate		https://ccalt.org/landowners/	No	"{""facebook"": ""https://www.facebook.com/CCALT"", ""instagram"": ""https://instagram.com/ccalt_org/"", ""youtube"": ""https://www.youtube.com/channel/UCKCZHcn5O4ijfy4PKodsEUg/feed""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/CCALT	https://instagram.com/ccalt_org/	https://www.youtube.com/channel/UCKCZHcn5O4ijfy4PKodsEUg/feed	
Colorado	Colorado Headwaters Land Trust	https://headwaterslandtrust.org	FetchError:ERROR: Cannot connect to host headwaterslandtrust.org:443 ssl:default [nodename nor servname provided, or not known]															
Connecticut	Avalonia Land Conservancy	https://avalonialandconservancy.org	FetchError:ERROR: 0, message='', url=URL('https://avalonia.org/')															
Connecticut	Branford Land Trust	https://branfordlandtrust.org	200	WELCOME TO THE BRANFORD LAND TRUST - Branford Land Trust	Welcome to the Branford Land Trust website, where we invite you to help PROTECT, LEARN about and EXPLORE Branford’s open space and diverse natural features. Did you know that the […]	WELCOME TO THE BRANFORD LAND TRUST	Home|About|About the BLT|At-a-Glance|Board & Committees|History|Land Acknowledgement|LTA Accreditation|Newsletter|Protect	https://branfordlandtrust.org/help/make-a-donation/	https://branfordlandtrust.org/help/volunteer/		No	"{""facebook"": ""https://www.facebook.com/branfordlandtrustCT"", ""youtube"": ""https://www.youtube.com/@branfordlandtrust""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/branfordlandtrustCT		https://www.youtube.com/@branfordlandtrust	
Connecticut	Candlewood Valley Regional Land Trust	https://candlewoodvalleylandtrust.org	FetchError:ERROR: Cannot connect to host candlewoodvalleylandtrust.org:443 ssl:default [nodename nor servname provided, or not known]															
Connecticut	Colchester Land Trust	https://www.colchesterlandtrust.org/	200	Home | ColchesterLandTrust		Colchester Land Trust	Join|About|Annual Reports|College Scholarship|Contact|Support|Giving Circles|Matching Gift Endowment Challenge|Get Involved|For Landowners	https://www.colchesterlandtrust.org/join		https://www.colchesterlandtrust.org/for-landowners	Yes	"{""facebook"": ""https://www.facebook.com/wix"", ""twitter"": ""https://www.twitter.com/wix""}"			https://www.facebook.com/wix			
Connecticut	Connecticut Farmland Trust	https://ctfarmland.org	200	Connecticut Farmland Trust		Conservation Laid the Ground for Future Success|A Lifetime of Loving Farms, Conserving them for the Next Generation|Small farm, big impact: Next generation farmers tap into conserved land	←Older posts	https://interland3.donorperfect.net/weblink/weblink.aspx?name=E93568&id=1		https://ctfarmland.org/site/resources/	No	"{""twitter"": ""https://twitter.com/CTFarmlandTrust"", ""facebook"": ""https://www.facebook.com/CTFarmland"", ""instagram"": ""https://www.instagram.com/ctfarmland/"", ""youtube"": ""https://www.youtube.com/channel/UC6UQ8KraWsZKftvQailgqng""}"	WordPress		https://www.facebook.com/CTFarmland	https://www.instagram.com/ctfarmland/	https://www.youtube.com/channel/UC6UQ8KraWsZKftvQailgqng	
Florida	Alachua Conservation Trust	https://www.alachuaconservationtrust.org	200	Alachua Conservation Trust	"The mission of Alachua Conservation Trust is to protect the natural, 
historic, scenic, and recreational resources in and around north central 
Florida."	|Celebrating 37 Years of ACT Conservation	Mission and History|Staff|Equity & Representation|Board of Directors|Employment Opportunities|Internships|Scholarship Opportunities|Awards & Excellence|ACT Parks & Preserves|Program Areas	https://www.alachuaconservationtrust.org/donate-today			No	"{""facebook"": ""https://www.facebook.com/AlachuaConservationTrust/"", ""instagram"": ""https://www.instagram.com/alachuaconservationtrust/"", ""linkedin"": ""https://www.linkedin.com/company/alachua-conservation-trust/"", ""youtube"": ""https://www.youtube.com/channel/UCIlBquOLc9lL-C5Dw9MdVng""}"	Squarespace	Google Analytics/Tag Manager	https://www.facebook.com/AlachuaConservationTrust/	https://www.instagram.com/alachuaconservationtrust/	https://www.youtube.com/channel/UCIlBquOLc9lL-C5Dw9MdVng	https://www.linkedin.com/company/alachua-conservation-trust/
Florida	Conservation Florida	https://conservationfla.org	200	Conservation Florida	"Conservation Florida is a statewide accredited land trust working to 
protect Florida's natural & agricultural landscapes for future generations. 
Saving Florida. For Nature. For People. Forever."	Saving Land.|Conserving Florida.|Protecting Our home.	About|Our Story|Join Our Team|Our Mission|D Ranch Preserve|Our Team|Board of Directors|Northwest Advisory Council|Central Florida Advisory Council|Where We Work	https://conservationfla.org/ways-to-give	https://conservationfla.org/volunteer	https://conservationfla.org/land-protection	No	"{""instagram"": ""https://www.instagram.com/conservationflorida/"", ""facebook"": ""https://www.facebook.com/conserveflorida"", ""twitter"": ""https://twitter.com/conservation_fl"", ""linkedin"": ""https://linkedin.com/company/conservationflorida""}"	Squarespace	Google Analytics/Tag Manager	https://www.facebook.com/conserveflorida	https://www.instagram.com/conservationflorida/		https://linkedin.com/company/conservationflorida
Florida	Conservation Foundation of the Gulf Coast	https://www.conservationfoundation.com	"FetchError:ERROR: Cannot connect to host www.conservationfoundation.com:443 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.conservationfoundation.com'. (_ssl.c:1028)"")]"															
Florida	North Florida Land Trust	https://www.nflt.org	FetchError:ERROR: Cannot connect to host www.nflt.org:443 ssl:True [SSLCertVerificationError: (1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)')]															
Florida	Tall Timbers Research Station & Land Conservancy	https://talltimbers.org	FetchError:ERROR: 															
Florida	Tampa Bay Conservancy	https://www.tampabayconservancy.org/	200	Home | TBC		Tampa BayConservancy	Home|Donors|Who we are|Who we are|Board|What we do|Mission|What is a Land Trust?|Accreditation|Conservation Planning	https://www.tampabayconservancy.org/how-you-can-help	https://www.tampabayconservancy.org/how-you-can-help		No	"{""facebook"": ""https://www.facebook.com/profile.php?id=61572672292985""}"			https://www.facebook.com/profile.php?id=61572672292985			
Georgia	Athens Land Trust	https://athenslandtrust.org	200	Athens Land Trust			||About Us|Our Story|Our Impact|Meet Our Team|Board Members|ALT Press & Publications|Our Work|Affordable Housing	https://connect.clickandpledge.com/w/Form/240670ed-07c0-4653-b7f3-bacc785f9dbc	https://athenslandtrust.org/join-us/volunteer/		Yes	"{""instagram"": ""https://www.instagram.com/athenslandtrust/"", ""facebook"": ""https://www.facebook.com/athenslandtrust"", ""linkedin"": ""http://linkedin.com/in/adamswilson""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/athenslandtrust	https://www.instagram.com/athenslandtrust/		http://linkedin.com/in/adamswilson
Georgia	Central Savannah River Land Trust	https://csrlt.org	200	The Central Savannah River Land Trust | Safeguarding forests, wetlands, & open spaces in the CSRA	Safeguarding forests, wetlands, & open spaces in the CSRA	Take the Challenge:|Your gift today can save land forever.|Saving our Community, One Acre at a Time	Land|Georgia|Greystone|Laverlea|Lombard Mill Pond|Savannah River Greenway|South Carolina|Events|The Bash|Run for the Hills	https://csrlt.org/donate/		https://csrlt.org/resources/landowner-info/	No	"{""facebook"": ""https://www.facebook.com/pages/Central-Savannah-River-Land-Trust/83505055673""}"	WordPress		https://www.facebook.com/pages/Central-Savannah-River-Land-Trust/83505055673			
Georgia	Chattooga Conservancy	https://chattoogaconservancy.org	FetchError:ERROR: Cannot connect to host chattoogaconservancy.org:443 ssl:default [nodename nor servname provided, or not known]															
